log,cutoff,combo,exp,ate,home_miss,drift_rate,yaw_rmse,vert_rmse,cross_track,success
A,10.0,C1,exp1,11.932009518614663,37.56340750282233,3.6632838248503266,0.19073103313540546,2.9394945962833408,0.0,False
A,10.0,C1,exp2,11.932009518614663,1.4441333386468067,3.6632838248503266,0.19073103313540546,2.9394945962833408,1.0622380077360007,True
A,30.0,C1,exp1,120.68486041309049,362.83630317541355,12.202444514739511,0.2925113155842973,23.705191257804906,0.0,False
A,30.0,C1,exp2,120.68486041309049,0.17000485730336629,12.202444514739511,0.2925113155842973,23.705191257804906,1.1742638685441906,True
A,60.0,C1,exp1,460.7575467351197,1315.7039410451137,22.151679133042553,0.4652404327355997,88.78674310767903,0.0,False
A,60.0,C1,exp2,460.7575467351197,1.4479598619995966,22.151679133042553,0.4652404327355997,88.78674310767903,1.2187930750959708,True
A,10.0,C2,exp1,11.941462722158017,37.60544335973588,3.6704041557584537,0.21417069042457518,2.9394945962833914,0.0,False
A,10.0,C2,exp2,11.941462722158017,1.4441333386468067,3.6704041557584537,0.21417069042457518,2.9394945962833914,1.0622380077360007,True
A,30.0,C2,exp1,119.84408773826688,357.52453414719935,12.026302436812182,0.2237413269408129,23.70519125780574,0.0,False
A,30.0,C2,exp2,119.84408773826688,0.17000485730336629,12.026302436812182,0.2237413269408129,23.70519125780574,1.1742638685441906,True
A,60.0,C2,exp1,438.2727796662,1192.9906645396275,20.129303102065542,0.23354067743588586,88.78674310768403,0.0,False
A,60.0,C2,exp2,438.2727796662,1.4479598619995966,20.129303102065542,0.23354067743588586,88.78674310768403,1.2187930750959708,True
A,10.0,C3,exp1,12.907802154589463,38.14942233958848,3.641646777898243,0.21417069042457518,3.839026340056424,0.0,False
A,10.0,C3,exp2,12.907802154589463,1.4441333386468067,3.641646777898243,0.21417069042457518,3.839026340056424,1.0622380077360007,True
A,30.0,C3,exp1,118.9704840552414,361.2030256064911,11.901762435274247,0.2237413269408129,4.977196623710577,0.0,False
A,30.0,C3,exp2,118.9704840552414,0.17000485730336629,11.901762435274247,0.2237413269408129,4.977196623710577,1.1742638685441906,True
A,60.0,C3,exp1,433.3871088266269,1198.2702902549183,19.860457469053305,0.23354067743588586,7.825179613860226,0.0,False
A,60.0,C3,exp2,433.3871088266269,1.4479598619995966,19.860457469053305,0.23354067743588586,7.825179613860226,1.2187930750959708,True
A,10.0,C4,exp1,4.307268449869305,12.328441721390886,0.6189354322111763,0.21417069042457518,3.839026340056424,0.0,False
A,10.0,C4,exp2,4.307268449869305,1.4441333386468067,0.6189354322111763,0.21417069042457518,3.839026340056424,1.0622380077360007,True
A,30.0,C4,exp1,8.754015356650527,53.66683620909947,0.5172441448207123,0.2237413269408129,4.977196623710577,0.0,False
A,30.0,C4,exp2,8.754015356650527,0.17000485730336629,0.5172441448207123,0.2237413269408129,4.977196623710577,1.1742638685441906,True
A,60.0,C4,exp1,14.758457888968058,128.8474038581509,0.4461016067699218,0.23354067743588586,7.825179613860226,0.0,False
A,60.0,C4,exp2,14.758457888968058,1.4479598619995966,0.4461016067699218,0.23354067743588586,7.825179613860226,1.2187930750959708,True
A,10.0,C5,exp1,4.307268449869305,12.328441721390886,0.6189354322111763,0.21417069042457518,3.839026340056424,0.0,False
A,10.0,C5,exp2,4.307268449869305,1.4441333386468067,0.6189354322111763,0.21417069042457518,3.839026340056424,1.0622380077360007,True
A,30.0,C5,exp1,8.754015356650527,53.66683620909947,0.5172441448207123,0.2237413269408129,4.977196623710577,0.0,False
A,30.0,C5,exp2,8.754015356650527,0.17000485730336629,0.5172441448207123,0.2237413269408129,4.977196623710577,1.1742638685441906,True
A,60.0,C5,exp1,14.758457888968058,128.8474038581509,0.4461016067699218,0.23354067743588586,7.825179613860226,0.0,False
