4.310200000000000169e-05,4.728638450615108013e-04,-6.202565273270010948e-04,-1.813662238419055126e-04,-4.158243238925933838e-01,-6.284950971603381342e-01,9.783123016357421875e+00
6.370299999999999639e-05,2.905457768065389246e-05,-2.883386623580008745e-04,2.666879117896318099e-05,-4.179227352142333984e-01,-6.301392316818225092e-01,9.777616500854492188e+00
7.130399999999999358e-05,7.603368721902370453e-04,1.161446998594329303e-04,4.564189293887466192e-04,-4.203754365444183350e-01,-6.223742365837084956e-01,9.776974678039550781e+00
5.480674999999999956e-03,-1.379627501592040062e-04,-2.453513443470001221e-04,-1.526851992821320620e-04,-4.095627367496490479e-01,-6.235060095787036127e-01,9.775457382202148438e+00
2.593849999999999975e-02,8.634637342765927315e-04,2.211573155364020846e-04,-6.180090713314712048e-04,-4.142527878284454346e-01,-6.301011443138110346e-01,9.778953552246093750e+00
4.598050399999999843e-02,6.268253200687468052e-04,-2.143289893865585869e-04,-3.469766816124320030e-04,-4.225994646549224854e-01,-6.279106736183154291e-01,9.787645339965820312e+00
6.621191799999999461e-02,1.028215279802680016e-03,-4.430553235579281503e-04,3.511094255372882431e-04,-4.107578694820404053e-01,-6.266813874244677729e-01,9.782103538513183594e+00
8.809541399999999689e-02,2.466259757056832314e-04,-5.327300168573856354e-04,-1.495268043072421947e-05,-4.047609269618988037e-01,-6.311582326889025873e-01,9.779940605163574219e+00
1.066495439999999989e-01,8.732196147320792079e-05,1.252255460713060065e-04,1.099929912015795708e-03,-4.156191051006317139e-01,-6.316904425621020502e-01,9.784688949584960938e+00
1.268723569999999912e-01,1.286883722059428692e-03,7.071988075040279735e-04,-7.842930499464274537e-04,-4.047550857067108154e-01,-6.333602070808398432e-01,9.788428306579589844e+00
1.469520639999999934e-01,-7.152925827540457249e-04,-2.244934148620814898e-04,-6.295671919360756874e-04,-4.092517197132110596e-01,-6.273255944252001948e-01,9.784819602966308594e+00
1.672773820000000022e-01,1.585267746122553945e-04,-5.165992770344018936e-04,3.905569610651588578e-05,-4.112105667591094971e-01,-6.239729523658740229e-01,9.781985282897949219e+00
1.900223219999999935e-01,3.391698992345482111e-04,-2.967239124700428682e-04,-1.394310034811496735e-03,-4.059585332870483398e-01,-6.295838356018054194e-01,9.783282279968261719e+00
2.077856120000000084e-01,-1.056529814377427101e-03,8.601234876550735127e-04,5.897770170122383941e-04,-4.126724302768707275e-01,-6.250801682472216791e-01,9.789084434509277344e+00
2.278570169999999950e-01,-2.019291860051453114e-04,-3.589974076021463221e-04,-2.268948592245578224e-04,-4.096960127353668213e-01,-6.297304630279528803e-01,9.779429435729980469e+00
2.483970470000000097e-01,5.318228504620492458e-04,-2.561482251621783322e-04,-2.696119481697678024e-04,-4.175685346126556396e-01,-6.269673705101000971e-01,9.783488273620605469e+00
2.683755480000000193e-01,-5.733181023970246315e-05,5.058853421360255372e-04,4.609813622664659673e-04,-4.060386121273040771e-01,-6.329047083854663081e-01,9.782767295837402344e+00
2.901520389999999727e-01,-5.680764443241059780e-04,-4.306043556425720995e-04,-4.066919500473886186e-04,-4.076020419597625732e-01,-6.299342513084399409e-01,9.783111572265625000e+00
3.092133939999999748e-01,6.374079384841024876e-05,-1.057087283697911284e-04,-4.987737629562616348e-04,-4.167811572551727295e-01,-6.312730908393847651e-01,9.781925201416015625e+00
3.291883950000000225e-01,9.944281191565096378e-05,-9.391378844156862389e-04,-7.999241934157906879e-04,-4.150231778621673584e-01,-6.304860115051257319e-01,9.790288925170898438e+00
3.494272090000000164e-01,-4.023678775411099195e-04,8.317889296449720860e-04,1.122352659876913844e-05,-4.133183360099792480e-01,-6.324455738067614741e-01,9.783216476440429688e+00
3.696161210000000197e-01,1.317452057264745235e-03,2.577103732619434595e-04,-1.348350051557645473e-04,-4.061438739299774170e-01,-6.376054883003222651e-01,9.786287307739257812e+00
3.917703310000000272e-01,4.865769587922841311e-04,7.754184189252556455e-04,4.931993316859005798e-04,-4.068841636180877686e-01,-6.211968064308154291e-01,9.785034179687500000e+00
4.103348609999999952e-01,-1.689611701294779778e-03,-5.022839177399873734e-04,-4.773604814545245330e-05,-4.124190509319305420e-01,-6.293348073959338373e-01,9.780668258666992188e+00
4.304819699999999916e-01,7.352424436248838902e-04,4.077426565345376730e-04,-1.838757307268679684e-04,-4.088998138904571533e-01,-6.262575387954699702e-01,9.774940490722656250e+00
4.507212850000000270e-01,-5.894184869248420000e-05,2.422412508167326179e-04,-2.576449769549072331e-04,-4.045991003513336182e-01,-6.346778869628894038e-01,9.789707183837890625e+00
4.711278070000000096e-01,-3.494294651318341494e-04,3.269564185757189447e-04,-5.444923299364745617e-04,-4.110197424888610840e-01,-6.387205719947802729e-01,9.791107177734375000e+00
4.930171039999999838e-01,-2.003997942665591836e-04,3.979955217801034451e-04,-9.313359623774891552e-05,-4.106194674968719482e-01,-6.297316551208483881e-01,9.779787063598632812e+00
5.113116210000000494e-01,-3.339448303449898958e-04,7.891050190664827824e-04,-3.742451663129032742e-04,-4.128549993038177490e-01,-6.331301927566516108e-01,9.779474258422851562e+00
5.319145530000000122e-01,6.892981473356485367e-04,1.007252940325997634e-04,-1.060179638443514840e-04,-4.070033729076385498e-01,-6.269522905349719233e-01,9.786449432373046875e+00
5.520883640000000536e-01,-1.764667540555819869e-04,-9.231501026079059731e-04,-7.364341290667652000e-04,-4.146643280982971191e-01,-6.204105615615832514e-01,9.782524108886718750e+00
5.723699799999999449e-01,2.827111165970563889e-04,-7.365698111243544925e-04,1.035212422721087933e-03,-4.067485928535461426e-01,-6.283216476440417475e-01,9.779365539550781250e+00
5.942832780000000259e-01,7.427712553180754185e-04,2.977808762807397950e-04,-9.292262839153409004e-04,-4.040460884571075439e-01,-6.318268775939929194e-01,9.776466369628906250e+00
6.128622089999999911e-01,1.780689781298860908e-04,-1.079696812666957692e-05,-4.097842029295861721e-04,-4.141134619712829590e-01,-6.278392672538745112e-01,9.785818099975585938e+00
6.331113240000000308e-01,-7.664629811188206077e-05,2.228346129413694956e-04,6.926923524588346481e-04,-4.128814637660980225e-01,-6.272853016853320307e-01,9.790547370910644531e+00
6.532834339999999962e-01,-4.896455211564898491e-04,-1.122952555306255817e-03,-3.405184543225912614e-04,-4.054409265518188477e-01,-6.363852024078356928e-01,9.782058715820312500e+00
6.738030630000000354e-01,4.361490427982062101e-04,4.937467165291309357e-04,-3.725627611856908148e-04,-4.078618586063385010e-01,-6.336609125137316889e-01,9.783403396606445312e+00
6.956903589999999804e-01,-4.226355813443660736e-04,1.081392983905971050e-03,-3.389959165360779654e-04,-4.167002737522125244e-01,-6.285864710807788081e-01,9.778829574584960938e+00
7.141803860000000004e-01,-2.181624440709128976e-04,2.044817374553531679e-04,1.357669825665652481e-04,-4.094295203685760498e-01,-6.300497055053698725e-01,9.776524543762207031e+00
7.342236899999999844e-01,-6.572774145752191544e-04,-7.320585427805781364e-04,-4.310049116611479629e-04,-4.042609632015228271e-01,-6.276235580444323725e-01,9.785531997680664062e+00
7.549326280000000500e-01,2.016430225921794772e-04,-5.796070763608448888e-05,-6.398134282790124416e-04,-4.096581637859344482e-01,-6.369289159774768061e-01,9.785337448120117188e+00
7.750551359999999779e-01,-9.853314841166138649e-04,-4.478550981730222160e-04,2.533149090595543927e-04,-4.055807888507843018e-01,-6.240050792694079584e-01,9.784774780273437500e+00
7.978883799999999527e-01,2.461090334691107273e-04,-1.609481696505098993e-04,3.947263176087290049e-04,-4.066692292690277100e-01,-6.309659481048571772e-01,9.784656524658203125e+00
8.158389799999999914e-01,-2.015410573221743107e-04,6.914240075275301933e-04,-2.843924448825420033e-04,-4.077240228652954102e-01,-6.377257704734790034e-01,9.786425590515136719e+00
8.358466820000000075e-01,-6.942053005332127213e-05,-1.677836407907308232e-04,-9.070555097423493862e-04,-4.162462055683135986e-01,-6.229417920112597651e-01,9.788280487060546875e+00
8.560791960000000422e-01,8.245278149843215942e-04,2.933384967036545819e-04,3.051187377423047477e-04,-4.086820483207702637e-01,-6.322712898254382319e-01,9.783869743347167969e+00
8.762907089999999455e-01,-1.820370962377637625e-04,6.550621765200045975e-05,-1.997939689317718148e-04,-4.176203906536102295e-01,-6.360025405883776850e-01,9.784725189208984375e+00
8.985062219999999655e-01,1.130184973590075970e-03,5.577650736086070538e-04,1.526866690255700729e-04,-4.131114184856414795e-01,-6.289095878601062006e-01,9.787807464599609375e+00
9.168844430000000489e-01,-5.078531685285270214e-04,4.206782614346594160e-04,3.655883483588694984e-04,-4.091463983058929443e-01,-6.268969774246203608e-01,9.788008689880371094e+00
9.369719490000000262e-01,-6.599702173843979836e-04,-4.370259121060371941e-04,-4.980801604688167572e-04,-4.133653938770294189e-01,-6.249468326568591303e-01,9.781560897827148438e+00
9.571418600000000110e-01,-5.886844592168927193e-04,1.412578858435153690e-04,-3.061353636439889669e-04,-4.181485772132873535e-01,-6.335355043411242670e-01,9.792820930480957031e+00
9.776796890000000184e-01,-1.667657052166759968e-04,-5.197782302275298942e-04,1.053551095537841320e-03,-4.105379581451416016e-01,-6.311634778976428217e-01,9.788776397705078125e+00
9.997431940000000017e-01,-3.811607311945408583e-04,-7.427014643326401711e-04,2.811602025758476149e-04,-4.130159318447113037e-01,-6.278313994407641596e-01,9.783937454223632812e+00
1.017965108000000063e+00,-7.223628927022218704e-04,-9.120614267885686051e-04,-5.843804101459680904e-04,-4.081556499004364014e-01,-6.302278041839587397e-01,9.784940719604492188e+00
