4.530200000000000096e-05,1.385386884212493896e-01
8.668604400000000376e-02,1.439338922500610352e-01
1.884863449999999996e-01,1.506463587284088135e-01
2.888880759999999936e-01,1.610037237405776978e-01
3.904381639999999765e-01,1.823039799928665161e-01
4.917275389999999913e-01,1.984456032514572144e-01
5.929721119999999956e-01,2.107863873243331909e-01
6.946396070000000478e-01,2.194087803363800049e-01
7.960988900000000035e-01,2.281360328197479248e-01
8.971744550000000373e-01,2.355485558509826660e-01
9.984058270000000235e-01,2.443052828311920166e-01
1.099759806000000006e+00,2.547832131385803223e-01
1.214745068000000039e+00,2.672055363655090332e-01
1.314473664999999958e+00,2.786547541618347168e-01
1.414864094999999988e+00,2.819666862487792969e-01
1.515863256000000048e+00,2.867844104766845703e-01
1.617076326999999925e+00,2.896866202354431152e-01
1.717988384000000091e+00,2.928814589977264404e-01
1.818875838999999939e+00,2.978612780570983887e-01
1.920149713000000036e+00,2.962086796760559082e-01
2.021632397999999942e+00,2.924960255622863770e-01
2.122579657000000175e+00,2.886492311954498291e-01
2.224222349999999793e+00,2.852583229541778564e-01
2.325870643000000015e+00,2.803061306476593018e-01
2.426686394999999941e+00,2.744697332382202148e-01
2.528750109000000190e+00,2.614127695560455322e-01
2.631146238999999998e+00,2.475287765264511108e-01
2.732655126000000045e+00,2.314590811729431152e-01
2.834335220999999905e+00,2.160701602697372437e-01
2.935040966999999945e+00,2.021372169256210327e-01
3.036827267000000052e+00,1.811780482530593872e-01
3.137795526000000113e+00,1.607282757759094238e-01
3.238886391999999947e+00,1.449593454599380493e-01
3.340327074000000174e+00,1.317702233791351318e-01
3.711748684999999881e+00,1.289847493171691895e-01
3.722338616000000044e+00,1.236894279718399048e-01
3.732796940000000063e+00,1.144407913088798523e-01
3.746057604000000207e+00,1.028492227196693420e-01
3.847221373000000000e+00,9.705697745084762573e-02
3.948528950000000037e+00,9.287669509649276733e-02
4.049569113000000442e+00,8.537551015615463257e-02
4.150838087000000343e+00,8.033902943134307861e-02
4.252816296999999857e+00,7.624097913503646851e-02
4.353607247000000235e+00,6.671787798404693604e-02
4.454995026999999830e+00,5.457950755953788757e-02
4.555528364999999802e+00,4.770886152982711792e-02
4.656949047000000341e+00,4.194908589124679565e-02
4.758784348999999914e+00,3.704482316970825195e-02
4.859560399000000253e+00,3.732506930828094482e-02
4.963097486999999752e+00,3.538074716925621033e-02
5.064625473999999627e+00,2.932986430823802948e-02
5.165597833999999722e+00,2.597071416676044464e-02
5.266603495000000024e+00,2.485166862607002258e-02
5.368278188999999756e+00,2.416122704744338989e-02
5.469286451000000326e+00,3.253682702779769897e-02
5.570584725999999876e+00,3.881753236055374146e-02
5.672163315999999789e+00,4.369422793388366699e-02
5.773573096999999876e+00,4.279409721493721008e-02
5.874673363000000315e+00,3.225989267230033875e-02
5.975888535000000168e+00,2.651898004114627838e-02
6.077294715999999930e+00,2.418180555105209351e-02
6.178472185999999589e+00,2.552361600100994110e-02
6.280054975999999733e+00,2.911386825144290924e-02
6.380788222999999704e+00,3.307823836803436279e-02
6.482189103999999702e+00,3.549826890230178833e-02
6.583578584999999705e+00,3.449242562055587769e-02
6.684803056999999882e+00,3.560185432434082031e-02
6.786803768000000403e+00,3.921078518033027649e-02
6.888042839999999778e+00,4.376460984349250793e-02
6.989339915999999597e+00,4.873589426279067993e-02
7.091062212999999836e+00,5.503179877996444702e-02
7.192290036000000164e+00,6.281415373086929321e-02
7.293924293999999975e+00,6.669926643371582031e-02
7.394912815999999722e+00,6.249264627695083618e-02
7.496571075000000306e+00,6.214942038059234619e-02
7.597686503000000258e+00,6.764148175716400146e-02
7.699933995000000309e+00,7.226934283971786499e-02
7.801138728999999827e+00,7.605311274528503418e-02
7.902319961999999975e+00,8.062469959259033203e-02
8.003468692000000217e+00,8.840975165367126465e-02
8.105263559000000839e+00,9.408766031265258789e-02
8.206227879000000058e+00,9.586468338966369629e-02
8.307670926000000122e+00,9.306409209966659546e-02
8.409497495000000100e+00,-5.290359258651733398e-03
8.510022291000000294e+00,-1.027876511216163635e-02
8.611777155000000405e+00,-1.227598823606967926e-02
8.712699473000000694e+00,-1.146190613508224487e-02
8.814157120999999151e+00,-9.146215394139289856e-03
8.915336654000000749e+00,-7.779560983180999756e-03
9.016757098999999442e+00,-1.504702307283878326e-02
9.118141243000000173e+00,-1.956501975655555725e-02
9.219396180000000385e+00,-2.387460879981517792e-02
9.320824826000000840e+00,-2.780545502901077271e-02
9.421831749000000755e+00,-3.373453393578529358e-02
9.523087686000000218e+00,-3.063130192458629608e-02
9.624762946000000596e+00,-3.638923540711402893e-02
9.725837571999999653e+00,-3.752374649047851562e-02
9.827365123999999952e+00,-3.400947526097297668e-02
9.928526254999999523e+00,-3.200442716479301453e-02
1.002953417800000047e+01,-3.404826670885086060e-02
1.013087461900000008e+01,-2.815003320574760437e-02
1.023212455600000048e+01,4.561105743050575256e-03
1.033487187499999926e+01,6.714312359690666199e-03
1.043522316199999977e+01,1.297517679631710052e-03
1.053656280300000070e+01,-1.082009635865688324e-03
1.063806035300000019e+01,6.372833624482154846e-03
1.073897327100000076e+01,1.616718247532844543e-02
1.084034331400000006e+01,2.612812817096710205e-02
1.094155054800000038e+01,3.280527889728546143e-02
1.104259427200000054e+01,2.472820878028869629e-02
1.114412892500000041e+01,1.714139617979526520e-02
1.124513424699999931e+01,1.569679938256740570e-02
1.134690021199999954e+01,1.612405106425285339e-02
1.144766202199999938e+01,1.040119491517543793e-02
1.154860824100000016e+01,1.216589473187923431e-03
1.165035810500000046e+01,1.312166452407836914e-03
1.175129982400000017e+01,2.316253259778022766e-03
1.185275327199999928e+01,1.662483438849449158e-03
1.195397920699999972e+01,8.884603157639503479e-04
1.205543685499999995e+01,4.499481990933418274e-03
1.215681399800000051e+01,4.108715802431106567e-04
1.225812133800000048e+01,-9.407421573996543884e-03
1.236008061299999916e+01,-1.763795316219329834e-02
1.246032559400000039e+01,-1.914644613862037659e-02
1.256169783700000053e+01,-1.765716075897216797e-02
1.266345460099999976e+01,-8.671602234244346619e-03
1.276465863499999998e+01,-1.302987337112426758e-03
1.286619248699999929e+01,6.293306127190589905e-03
1.296740202099999983e+01,1.897731423377990723e-02
1.306891977299999930e+01,3.734640404582023621e-02
1.316984609100000014e+01,6.531643122434616089e-02
1.327078080999999976e+01,9.441184252500534058e-02
1.337230426100000003e+01,1.216065958142280579e-01
1.347438294400000025e+01,1.582832634449005127e-01
1.357570948400000077e+01,2.156007885932922363e-01
1.367728433899999985e+01,2.935811281204223633e-01
1.377845106999999913e+01,4.045398533344268799e-01
1.387934988700000005e+01,5.413655638694763184e-01
1.398022040200000049e+01,6.410455703735351562e-01
1.408180385700000059e+01,7.455245852470397949e-01
1.418281778000000060e+01,8.190770149230957031e-01
1.428366099399999989e+01,8.853453397750854492e-01
1.438550006300000028e+01,9.338492155075073242e-01
1.448647668399999944e+01,9.819325804710388184e-01
1.458789383000000051e+01,1.040952801704406738e+00
1.468931217599999961e+01,1.106757998466491699e+00
1.479056551200000058e+01,1.168229222297668457e+00
1.489186285100000084e+01,1.230359196662902832e+00
1.499409304199999937e+01,1.278823733329772949e+00
1.509748269700000023e+01,1.349076271057128906e+00
1.519843082400000078e+01,1.395601630210876465e+00
1.529946245500000046e+01,1.433948516845703125e+00
1.540112122100000036e+01,1.461717844009399414e+00
1.550199494299999969e+01,1.485623478889465332e+00
1.560314007999999930e+01,1.502845764160156250e+00
1.570456163300000085e+01,1.516068816184997559e+00
1.580656381800000077e+01,1.529217004776000977e+00
1.590743804100000069e+01,1.544842600822448730e+00
1.600899690099999972e+01,1.560891985893249512e+00
1.610985232299999836e+01,1.590171098709106445e+00
1.621113786800000156e+01,1.621730685234069824e+00
1.631247371599999951e+01,1.666302204132080078e+00
1.641408747899999909e+01,1.713152408599853516e+00
1.653209625699999918e+01,1.765544652938842773e+00
1.663281526999999826e+01,1.825492858886718750e+00
1.673267673599999839e+01,1.891151547431945801e+00
1.683244219699999888e+01,1.943249106407165527e+00
1.693279099000000087e+01,1.985964179039001465e+00
1.703377561799999995e+01,2.014381408691406250e+00
1.713442572800000008e+01,2.047975540161132812e+00
1.723514524200000153e+01,2.075781345367431641e+00
1.733597906199999983e+01,2.111038684844970703e+00
1.743739611499999853e+01,2.145541906356811523e+00
