3.580200000000000044e-05,7.373565435409545898e-02,2.608077228069305420e-02,7.794471085071563721e-02,-9.991959474566867172e-01,3.230692454636538424e-02,-2.069433376797121318e-02,-1.163897865682883732e-02,1.497360031768877470e-02,-3.467412815657391467e-03,1.613805106893069150e-02
5.830300000000000066e-05,7.315133512020111084e-02,2.612107433378696442e-02,7.878224551677703857e-02,-9.991962424846262403e-01,3.230244973643364020e-02,-2.068907792425300415e-02,-1.164222396416420176e-02,1.438431398876720106e-02,-3.604418570731235567e-03,1.652597338583202194e-02
6.980399999999999778e-05,7.277571409940719604e-02,2.665558829903602600e-02,8.016958832740783691e-02,-9.991967060999598083e-01,3.229927225918263062e-02,-2.067115036711219059e-02,-1.163897865682889284e-02,1.400762687596825845e-02,-3.798202432191760333e-03,1.711259056396471911e-02
7.900400000000000456e-05,7.286511361598968506e-02,2.907404676079750061e-02,8.366010338068008423e-02,-9.991971275684450315e-01,3.229680601000022716e-02,-2.065872824205811087e-02,-1.163181369258198435e-02,1.367935801502642192e-02,-3.079580789262143219e-03,1.824209969329666087e-02
8.450400000000000272e-05,7.295881956815719604e-02,3.080425411462783813e-02,8.619373291730880737e-02,-9.991970854215964648e-01,3.230100620687214458e-02,-2.065546054420950087e-02,-1.163202442682454048e-02,1.356037796645614101e-02,-2.586801691602812030e-03,1.911476832295834136e-02
1.743447399999999842e-02,7.307147234678268433e-02,3.237565234303474426e-02,8.848972618579864502e-02,-9.991966218062626748e-01,3.231442141704426313e-02,-2.065338283628681548e-02,-1.163451109088670284e-02,1.340523889684930650e-02,-2.139444711074967032e-03,1.971180349692165656e-02
5.383319799999999877e-02,7.299856841564178467e-02,3.499466180801391602e-02,9.024408459663391113e-02,-9.991964110720201742e-01,3.232288568960536151e-02,-2.065600318488407944e-02,-1.162705109870032678e-02,1.314690447647467661e-02,-1.297830435797892382e-03,2.072733031267198767e-02
8.632822599999999402e-02,7.276663929224014282e-02,3.852341696619987488e-02,9.158892184495925903e-02,-9.991961160440807621e-01,3.233075068666419610e-02,-2.065331171347995279e-02,-1.163198227997602925e-02,1.290549314005350751e-02,-2.070396149059282667e-05,2.166078405778405075e-02
1.184031329999999937e-01,7.258648425340652466e-02,4.175122454762458801e-02,9.274110943078994751e-02,-9.991951045197163817e-01,3.235985242701646530e-02,-2.064743288665719240e-02,-1.164648079586372460e-02,1.274142013654553686e-02,1.153251447346383563e-03,2.251412068673897329e-02
1.548681600000000047e-01,7.242853194475173950e-02,4.540766403079032898e-02,9.425962716341018677e-02,-9.991943880232917463e-01,3.238227652605778217e-02,-2.065389518391402487e-02,-1.164087526501184251e-02,1.261337710025609189e-02,2.363118412347238809e-03,2.362528055091453125e-02
1.880828250000000090e-01,7.250187546014785767e-02,4.729080945253372192e-02,9.830139577388763428e-02,-9.991942194358977014e-01,3.239187151953908800e-02,-2.064827779926093135e-02,-1.163817786670712402e-02,1.211954234899349954e-02,2.963291829249046442e-03,2.512905013620992528e-02
2.197818129999999925e-01,7.258280366659164429e-02,4.902529716491699219e-02,1.019255444407463074e-01,-9.991940929953521122e-01,3.240001376383579157e-02,-2.063623697147697750e-02,-1.164462633452923064e-02,1.180679261173922349e-02,3.541543237250128692e-03,2.640545381726207980e-02
2.561225340000000128e-01,7.266737520694732666e-02,5.062188580632209778e-02,1.053911149501800537e-01,-9.991945144638372245e-01,3.239702265468052955e-02,-2.061934003649115721e-02,-1.164496350931737596e-02,1.138435397906666091e-02,4.052509347939857627e-03,2.759475330118645736e-02
2.886907659999999876e-01,7.275697588920593262e-02,5.209286138415336609e-02,1.086587607860565186e-01,-9.991945144638372245e-01,3.239744873297719513e-02,-2.061838712258810477e-02,-1.165002113113872313e-02,1.114932184925911465e-02,4.447024353102190658e-03,2.875117684882934344e-02
3.208682780000000068e-01,7.475665956735610962e-02,5.307491123676300049e-02,1.159411519765853882e-01,-9.991949780791709035e-01,3.239316160823023372e-02,-2.060614214600667293e-02,-1.164508994986285413e-02,1.148743815954890272e-02,4.569538729484708475e-03,3.108346770297243031e-02
3.574138090000000267e-01,7.703749090433120728e-02,5.419387668371200562e-02,1.240664720535278320e-01,-9.991954416945044715e-01,3.238034633210488261e-02,-2.060982736107334554e-02,-1.163408962240153506e-02,1.189581737396629146e-02,4.594875086121575150e-03,3.374775676916821898e-02
3.900310439999999934e-01,7.871183007955551147e-02,5.500558763742446899e-02,1.299590170383453369e-01,-9.991956945755955388e-01,3.236674014402545624e-02,-2.061909242375615375e-02,-1.162995923124743487e-02,1.227242779674140270e-02,4.521054639890691694e-03,3.559363345910761950e-02
4.223420629999999898e-01,7.957351207733154297e-02,5.516802519559860229e-02,1.356512159109115601e-01,-9.991956945755955388e-01,3.235783662227752905e-02,-2.062910756863355760e-02,-1.163535402785687185e-02,1.236218522849360027e-02,4.224968529426368150e-03,3.727596825109387446e-02
4.585681779999999930e-01,7.973565906286239624e-02,5.476726964116096497e-02,1.410654038190841675e-01,-9.991959896035351729e-01,3.234257682893855457e-02,-2.064442004553317112e-02,-1.162949561591386689e-02,1.235883692710356557e-02,3.811384810649754915e-03,3.889704522875256365e-02
4.913986229999999789e-01,7.992476969957351685e-02,5.440607294440269470e-02,1.461006402969360352e-01,-9.991959896035351729e-01,3.234029233804035924e-02,-2.064899100296307619e-02,-1.162629245542712471e-02,1.233916846606536444e-02,3.349147803616094043e-03,4.030110357832695361e-02
5.234463289999999880e-01,8.013851195573806763e-02,5.408105999231338501e-02,1.506244838237762451e-01,-9.991960738972320843e-01,3.233289820030473688e-02,-2.065688563452477630e-02,-1.162022330924145259e-02,1.235484009603297212e-02,3.019604429509665199e-03,4.153644624743854652e-02
5.597754489999999805e-01,7.886065542697906494e-02,5.464684590697288513e-02,1.552797257900238037e-01,-9.991967060999598083e-01,3.232542240305011361e-02,-2.064545330186619287e-02,-1.161107744311462749e-02,1.136128755526091307e-02,3.139723806474320131e-03,4.308642304862474182e-02
5.926188949999999789e-01,7.715813815593719482e-02,5.554085597395896912e-02,1.584414243698120117e-01,-9.991970011278994424e-01,3.232608885009218697e-02,-2.062468807644048455e-02,-1.161862172899802599e-02,1.042840144168875535e-02,3.379450966202238432e-03,4.421639405254237931e-02
6.248220079999999843e-01,7.561632245779037476e-02,5.637143924832344055e-02,1.613515466451644897e-01,-9.991974647432330103e-01,3.232969240563986907e-02,-2.059519581919498285e-02,-1.162397437875900726e-02,9.463067237049965080e-03,3.626883061580081329e-03,4.528176697099119130e-02
6.612573339999999744e-01,7.421465963125228882e-02,5.714789777994155884e-02,1.638582199811935425e-01,-9.991977176243240777e-01,3.234261897578706579e-02,-2.055808749471466773e-02,-1.163585979003900657e-02,8.551666889015006878e-03,3.803022917431491540e-03,4.620162498493973757e-02
6.939521720000000338e-01,7.218255847692489624e-02,5.722130089998245239e-02,1.670638173818588257e-01,-9.991977597711725334e-01,3.234471709858949967e-02,-2.054985173709783508e-02,-1.163666058016071987e-02,7.447781551711095752e-03,3.604523906162383513e-03,4.702129472104769892e-02
7.262059880000000245e-01,7.009999454021453857e-02,5.708939582109451294e-02,1.702078282833099365e-01,-9.991981390928091900e-01,3.234557979189495169e-02,-2.053027584305354078e-02,-1.164125458664838804e-02,6.545786040854713328e-03,3.269507037852951731e-03,4.782485601730519786e-02
