4.100199999999999808e-05,5.041295662522316148e-06,3.592954576015472797e-05,-1.750076860189438138e-05
6.190299999999999330e-05,6.817522644996643457e-06,3.583814203739166623e-05,-1.762698739767075087e-05
1.062801260000000025e-01,4.976488277316093484e-06,3.605278134346008584e-05,-1.789060235023499121e-05
1.265221400000000052e-01,7.235175371170043886e-06,3.670348823070526510e-05,-1.811759173870087177e-05
2.479439240000000100e-01,4.531531408429146012e-06,3.704826533794403494e-05,-1.902206987142563324e-05
2.679957290000000159e-01,2.100498974323273015e-06,3.452891409397125717e-05,-1.385428756475448936e-05
3.898508350000000067e-01,4.057085141539574252e-06,3.577524423599243522e-05,-1.865587979555130584e-05
4.100673479999999982e-01,6.178182736039162188e-06,3.426290154457092211e-05,-1.968504935503006457e-05
5.315388340000000156e-01,3.662328422069549920e-06,3.668853640556335753e-05,-1.830898970365524688e-05
5.517453469999999971e-01,7.181618362665176558e-07,3.661326467990875123e-05,-1.512997150421143208e-05
6.733736409999999672e-01,3.907178714871406444e-06,3.629961907863617308e-05,-1.768478006124497045e-05
6.936258560000000406e-01,4.348343238234520426e-06,3.487482666969299777e-05,-1.771352738142013852e-05
8.154494599999999593e-01,4.843288287520408824e-06,3.722684979438781817e-05,-1.776313930749893606e-05
8.355150649999999457e-01,4.693629965186118981e-06,3.571803271770477211e-05,-1.573424488306045987e-05
9.568045429999999518e-01,4.424025863409042188e-06,3.694473206996917665e-05,-1.933728307485580708e-05
9.772623679999999924e-01,6.579993665218353971e-06,3.230178952217102394e-05,-2.032268941402435577e-05
1.098935865000000067e+00,4.456222802400589114e-06,3.635052144527435239e-05,-1.865277290344238584e-05
1.119544896999999928e+00,4.348886013031006452e-06,3.514729738235473802e-05,-2.117452919483185338e-05
1.233475705999999894e+00,4.096838459372521025e-06,3.474389016628265451e-05,-1.724876761436462775e-05
1.273572815000000080e+00,2.986056357622146612e-06,3.449823260307312192e-05,-2.019698470830917712e-05
1.373668230999999906e+00,5.643116682767867948e-06,3.711488246917724504e-05,-1.851520091295242768e-05
1.414294565999999920e+00,2.461885288357734715e-06,3.550130128860473969e-05,-1.814717799425125632e-05
1.515176121000000098e+00,5.225156247615814727e-06,3.555174469947814850e-05,-1.872401386499405172e-05
